tasks,method,journal,label,field,field2,rjournal,ryear,rdoi,jid,type,year,wos_doi,arxiv_id,lag
['Computational Phenotyping'],['Interpretability'],journal of the american medical informatics association,0.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE/ACM Transactions on Computational Biology and Bioinformatics,2018.0,10.1109/tcbb.2018.2849968,21.0,Review,2020.0,10.1093/jamia/ocz200,,2.0
['Computational Phenotyping'],['Interpretability'],journal of the american medical informatics association,0.0,"['Computer Science', 'Medicine']",['Computer Science'],IEEE/ACM Transactions on Computational Biology and Bioinformatics,2018.0,10.1109/tcbb.2018.2849968,21.0,Article,2020.0,10.1093/jamia/ocz194,,2.0
[],[],information processing & management,2.0,"['Computer Science', 'Physics', 'Mathematics', 'Geography', 'Business']",['Sociology'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219929,10.0,Article,2021.0,10.1016/j.ipm.2021.102715,,3.0
[],[],information processing & management,2.0,"['Computer Science', 'Physics', 'Mathematics', 'Geography', 'Business']",['Sociology'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219929,10.0,Article,2020.0,10.1016/j.ipm.2019.102184,,2.0
"['object-detection', 'Object Detection', 'Object Recognition']",[],information technology & people,0.0,['Computer Science'],['Computer Science'],2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2017.0,10.1109/cvpr.2018.00378,28.0,Article; Early Access,2021.0,10.1108/itp-07-2020-0534,,4.0
"['Multi-Task Learning', 'Time Series Analysis', 'Time Series Prediction']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2017.0,10.1016/j.asoc.2018.05.041,10.0,Article,2021.0,10.1016/j.ipm.2021.102494,,4.0
"['Cross-Modal Retrieval', 'Retrieval', 'Text Retrieval']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2017.0,10.1109/cvpr.2018.00750,10.0,Article,2021.0,10.1016/j.ipm.2020.102432,,4.0
"['Cross-Modal Retrieval', 'Retrieval', 'Text Retrieval']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2017.0,10.1109/cvpr.2018.00750,10.0,Article,2020.0,10.1016/j.ipm.2020.102315,,3.0
['Anomaly Detection'],[],information processing & management,2.0,"['Mathematics', 'Computer Science']",['Computer Science'],2018 IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA),2018.0,10.1109/dsaa.2018.00044,10.0,Article,2020.0,10.1016/j.ipm.2020.102268,,2.0
[],[],online information review,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2017.0,10.1145/3219819.3220025,43.0,Article,2021.0,10.1108/oir-12-2020-0562,,4.0
['Virtual Try-on'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2017.0,10.1109/cvpr.2018.00787,10.0,Article,2020.0,10.1016/j.ipm.2020.102276,,3.0
"['Classification', 'General Classification', 'Time Series Analysis', 'Time Series Classification']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Data Mining and Knowledge Discovery,2018.0,10.1007/s10618-018-0596-4,10.0,Article,2022.0,10.1016/j.ipm.2022.102867,,4.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'Classification', 'General Classification', 'Sentiment Analysis', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],,2018.0,10.18653/v1/p18-2092,10.0,Article,2022.0,10.1016/j.ipm.2022.102953,,4.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'Classification', 'General Classification', 'Sentiment Analysis', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],,2018.0,10.18653/v1/p18-2092,10.0,Article,2021.0,10.1016/j.ipm.2021.102641,,3.0
"['Aspect-Based Sentiment Analysis (ABSA)', 'Classification', 'General Classification', 'Sentiment Analysis', 'Sentiment Classification']","['Sigmoid Activation', 'Tanh Activation', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],,2018.0,10.18653/v1/p18-2092,10.0,Article,2019.0,10.1016/j.ipm.2018.12.005,,1.0
"['Explainable Recommendation', 'Multi-Task Learning']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval,2018.0,10.1145/3209978.3210010,10.0,Article,2020.0,10.1016/j.ipm.2019.102099,,2.0
['Click-Through Rate Prediction'],[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 2018 World Wide Web Conference,2018.0,10.1145/3178876.3186040,10.0,Review,2022.0,10.1016/j.ipm.2021.102853,,4.0
"['Eeg Decoding', 'Electroencephalogram (EEG)']",[],information processing & management,2.0,"['Computer Science', 'Medicine']",['Computer Science'],Human Brain Mapping,2017.0,10.1002/hbm.23730,10.0,Article,2022.0,10.1016/j.ipm.2022.103001,,5.0
"['Classification', 'Extreme Multi-Label Classification', 'General Classification', 'Multi-Label Classification', 'Multi-Label Learning']",[],electronic library,1.0,['Computer Science'],['Computer Science'],Proceedings of the 2018 ACM on International Conference on Multimedia Retrieval,2017.0,10.1145/3206025.3206030,56.0,Article,2019.0,10.1108/el-09-2019-0207,,2.0
[],[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Information and Inference: A Journal of the IMA,2018.0,10.1093/imaiai/iaz027,10.0,Article,2022.0,10.1016/j.ipm.2022.102867,,4.0
[],[],journal of the american medical informatics association,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219930,21.0,Article,2021.0,10.1093/jamia/ocab101,,3.0
['Recommendation Systems'],[],electronic library,1.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219890,56.0,Article,2022.0,10.1108/el-06-2022-0141,,4.0
['Recommendation Systems'],[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219890,10.0,Article,2021.0,10.1016/j.ipm.2020.102459,,3.0
['Recommendation Systems'],[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219890,10.0,Article,2021.0,10.1016/j.ipm.2020.102453,,3.0
['Recommendation Systems'],[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219890,10.0,Review,2020.0,10.1016/j.ipm.2020.102304,,2.0
['Recommendation Systems'],[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219890,10.0,Article,2020.0,10.1016/j.ipm.2020.102337,,2.0
['Recommendation Systems'],[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219890,10.0,Article,2022.0,10.1016/j.ipm.2022.103072,,4.0
"['BIG-bench Machine Learning', 'General Classification']",[],telecommunications policy,2.0,"['Computer Science', 'Medicine', 'Physics', 'Mathematics']","['Computer Science', 'Physics']",Nature,2018.0,10.1038/s41586-019-0980-2,34.0,Article,2020.0,10.1016/j.telpol.2020.101909,,2.0
"['Memex Question Answering', 'Question Answering', 'Visual Question Answering', 'Visual Question Answering (VQA)']",[],information processing & management,2.0,"['Medicine', 'Computer Science']",['Computer Science'],2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2018.0,10.1109/tpami.2018.2890628,10.0,Article,2020.0,10.1016/j.ipm.2020.102365,,2.0
"['Action Classification', 'Action Recognition']",['Graph Convolutional Networks'],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2018.0,10.1007/978-3-030-01228-1_25,10.0,Article,2022.0,10.1016/j.ipm.2022.102950,,4.0
"['Action Classification', 'Action Recognition']",['Graph Convolutional Networks'],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2018.0,10.1007/978-3-030-01228-1_25,10.0,Article,2022.0,10.1016/j.ipm.2022.102983,,4.0
"['Disease Prediction', 'General Classification']",['Graph Convolutional Networks'],information processing & management,2.0,"['Medicine', 'Computer Science', 'Mathematics']",['Computer Science'],Medical Image Analysis,2018.0,10.1016/j.media.2018.06.001,10.0,Article,2022.0,10.1016/j.ipm.2022.102952,,4.0
"['Disease Prediction', 'General Classification']",['Graph Convolutional Networks'],information processing & management,2.0,"['Medicine', 'Computer Science', 'Mathematics']",['Computer Science'],Medical Image Analysis,2018.0,10.1016/j.media.2018.06.001,10.0,Article,2022.0,10.1016/j.ipm.2022.102901,,4.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2017.0,10.1016/j.ipm.2017.03.007,,6.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],journal of the american medical informatics association,0.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,21.0,Article,2022.0,10.1093/jamia/ocac005,,11.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],journal of the american medical informatics association,0.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,21.0,Article,2021.0,10.1093/jamia/ocab253,,10.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2021.0,10.1016/j.ipm.2021.102685,,10.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],journal of the american medical informatics association,0.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,21.0,Article,2021.0,10.1093/jamia/ocab071,,10.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],journal of informetrics,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,18.0,Article,2021.0,10.1016/j.joi.2021.101158,,10.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2021.0,10.1016/j.ipm.2021.102555,,10.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],scientometrics,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,32.0,Article,2021.0,10.1007/s11192-020-03789-8,,10.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2020.0,10.1016/j.ipm.2020.102322,,9.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2020.0,10.1016/j.ipm.2020.102317,,9.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2020.0,10.1016/j.ipm.2020.102240,,9.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2020.0,10.1016/j.ipm.2020.102249,,9.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,10.0,Article,2020.0,10.1016/j.ipm.2020.102213,,9.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],international journal of information management,0.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,1.0,Article,2019.0,10.1016/j.ijinfomgt.2019.03.004,,8.0
"['BIG-bench Machine Learning', 'Dimensionality Reduction', 'General Classification', 'Model Selection']",[],journal of the association for information science and technology,2.0,['Computer Science'],['Computer Science'],ArXiv,2011.0,10.5555/1953048.2078195,39.0,Article,2018.0,10.1002/asi.23918,,7.0
[],[],journal of information science,2.0,['Computer Science'],['Computer Science'],IEEE Communications Surveys & Tutorials,2017.0,10.1109/comst.2018.2844341,30.0,Article,2020.0,10.1177/0165551519828620,,3.0
[],[],information processing & management,2.0,['Computer Science'],['Computer Science'],IEEE Communications Surveys & Tutorials,2017.0,10.1109/comst.2018.2844341,10.0,Article,2020.0,10.1016/j.ipm.2019.102122,,3.0
"['BIG-bench Machine Learning', 'Inference Attack', 'Membership Inference Attack']",[],information research-an international electronic journal,1.0,['Computer Science'],['Computer Science'],ArXiv,2018.0,10.14722/ndss.2019.23119,68.0,Article; Proceedings Paper,2020.0,10.47989/irisic2018,,2.0
"['Change Point Detection', 'Time Series Analysis']",[],information research-an international electronic journal,1.0,"['Computer Science', 'History']",['Computer Science'],ArXiv,2018.0,10.1093/llc/fqy077,68.0,Article,2022.0,10.47989/irpaper917,,4.0
"['BIG-bench Machine Learning', 'Fairness']",[],journal of the american medical informatics association,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],2018 IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA),2018.0,10.1109/dsaa.2018.00018,21.0,Review; Early Access,2022.0,10.1093/jamia/ocac058,,4.0
"['BIG-bench Machine Learning', 'Fairness']",[],ethics and information technology,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],2018 IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA),2018.0,10.1109/dsaa.2018.00018,22.0,Article,2022.0,10.1007/s10676-022-09654-x,,4.0
"['BIG-bench Machine Learning', 'Fairness']",[],information systems research,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],2018 IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA),2018.0,10.1109/dsaa.2018.00018,15.0,Article,2022.0,10.1287/isre.2021.1078,,4.0
"['BIG-bench Machine Learning', 'Fairness']",[],journal of the american medical informatics association,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],2018 IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA),2018.0,10.1109/dsaa.2018.00018,21.0,Review,2021.0,10.1093/jamia/ocab212,,3.0
"['BIG-bench Machine Learning', 'Fairness']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],2018 IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA),2018.0,10.1109/dsaa.2018.00018,10.0,Article,2021.0,10.1016/j.ipm.2021.102614,,3.0
"['BIG-bench Machine Learning', 'Fairness']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],2018 IEEE 5th International Conference on Data Science and Advanced Analytics (DSAA),2018.0,10.1109/dsaa.2018.00018,10.0,Article,2021.0,10.1016/j.ipm.2021.102569,,3.0
"['Decision Making', 'Fairness', 'Learning-To-Rank']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],2019 IEEE 35th International Conference on Data Engineering (ICDE),2018.0,10.1109/icde.2019.00121,10.0,Article,2021.0,10.1016/j.ipm.2021.102711,,3.0
"['Decision Making', 'Fairness', 'Learning-To-Rank']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],2019 IEEE 35th International Conference on Data Engineering (ICDE),2018.0,10.1109/icde.2019.00121,10.0,Article,2021.0,10.1016/j.ipm.2021.102642,,3.0
"['Decision Making', 'Fairness', 'Learning-To-Rank']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],2019 IEEE 35th International Conference on Data Engineering (ICDE),2018.0,10.1109/icde.2019.00121,10.0,Article,2020.0,10.1016/j.ipm.2019.102138,,2.0
['Dimensionality Reduction'],[],scientometrics,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Machine Learning,2018.0,10.1007/s10994-018-5724-2,32.0,Article,2021.0,10.1007/s11192-020-03731-y,,3.0
['Retrieval'],[],journal of the american medical informatics association,0.0,"['Computer Science', 'Medicine']",['Computer Science'],Journal of biomedical informatics,2018.0,10.1016/j.jbi.2018.11.007,21.0,Review,2020.0,10.1093/jamia/ocz162,,2.0
['Retrieval'],[],journal of the american medical informatics association,0.0,"['Computer Science', 'Medicine']",['Computer Science'],Journal of biomedical informatics,2018.0,10.1016/j.jbi.2018.11.007,21.0,Article,2019.0,10.1093/jamia/ocz156,,1.0
"['Imputation', 'Language Modelling', 'Machine Translation', 'Paraphrase Identification', 'speech-recognition', 'Speech Recognition', 'Text Summarization']","['Sigmoid Activation', 'Tanh Activation', 'AutoEncoder', 'LSTM', 'Seq2Seq']",information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Inf. Sci.,2018.0,10.1016/j.ins.2019.03.066,10.0,Article,2020.0,10.1016/j.ipm.2020.102362,,2.0
"['Active Learning', 'Attribute Value Extraction', 'named-entity-recognition', 'Named Entity Recognition', 'Named Entity Recognition (NER)']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219839,10.0,Article,2022.0,10.1016/j.ipm.2021.102753,,4.0
"['Active Learning', 'Attribute Value Extraction', 'named-entity-recognition', 'Named Entity Recognition', 'Named Entity Recognition (NER)']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219839,10.0,Article,2019.0,10.1016/j.ipm.2019.01.004,,1.0
"['Active Learning', 'Attribute Value Extraction', 'named-entity-recognition', 'Named Entity Recognition', 'Named Entity Recognition (NER)']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3219839,10.0,Article,2022.0,10.1016/j.ipm.2022.103058,,4.0
"['De-identification', 'Machine Translation', 'Text Generation', 'Translation']",[],journal of the american medical informatics association,0.0,"['Computer Science', 'Mathematics', 'Medicine']",['Computer Science'],NPJ Digital Medicine,2018.0,10.1038/s41746-018-0070-0,21.0,Review,2020.0,10.1093/jamia/ocz200,,2.0
"['Language Modelling', 'Video Description']",[],information processing & management,2.0,['Computer Science'],['Computer Science'],ACM Computing Surveys (CSUR),2018.0,10.1145/3355390,10.0,Article,2020.0,10.1016/j.ipm.2020.102302,,2.0
['Zero-Shot Learning'],[],information processing & management,2.0,['Computer Science'],['Computer Science'],2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2018.0,10.1109/cvpr.2019.01175,10.0,Article,2021.0,10.1016/j.ipm.2021.102659,,3.0
"['Natural Language Understanding', 'Reading Comprehension', 'Semantic Role Labeling']",[],scientometrics,2.0,['Computer Science'],['Computer Science'],ArXiv,2018.0,10.18653/v1/w18-2501,32.0,Article,2022.0,10.1007/s11192-022-04334-5,,4.0
"['Classification', 'Document Classification', 'Face Recognition', 'General Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Image Classification', 'Multi-Label Text Classification', 'Unsupervised Pre-training']",[],government information quarterly,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],ArXiv,2018.0,10.1145/3206098.3206111,8.0,Article,2022.0,10.1016/j.giq.2022.101715,,4.0
"['Classification', 'Fairness', 'General Classification', 'Image Classification']",[],ethics and information technology,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],"Proceedings of the 2019 AAAI/ACM Conference on AI, Ethics, and Society",2018.0,10.1145/3306618.3314287,22.0,Article,2022.0,10.1007/s10676-022-09636-z,,4.0
[],"['Sigmoid Activation', 'Tanh Activation', 'LSTM']",information processing & management,2.0,['Computer Science'],['Computer Science'],"2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2018.0,10.1109/icassp.2018.8461990,10.0,Article,2022.0,10.1016/j.ipm.2022.103011,,4.0
[],[],information processing & management,2.0,['Computer Science'],['Computer Science'],Proceedings of the 18th ACM/IEEE on Joint Conference on Digital Libraries,2018.0,10.1145/3197026.3197040,10.0,Article,2020.0,10.1016/j.ipm.2020.102269,,2.0
[],[],scientometrics,2.0,['Computer Science'],['Computer Science'],Proceedings of the 18th ACM/IEEE on Joint Conference on Digital Libraries,2018.0,10.1145/3197026.3197040,32.0,Article,2019.0,10.1007/s11192-019-03025-y,,1.0
[],['Interpretability'],journal of the american medical informatics association,0.0,"['Medicine', 'Computer Science', 'Mathematics']",['Computer Science'],IEEE Transactions on Visualization and Computer Graphics,2018.0,10.1109/tvcg.2018.2865027,21.0,Review,2020.0,10.1093/jamia/ocaa053,,2.0
"['Click-Through Rate Prediction', 'Recommendation Systems']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3220023,10.0,Review,2022.0,10.1016/j.ipm.2021.102853,,4.0
"['Click-Through Rate Prediction', 'Recommendation Systems']",[],information systems research,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3220023,15.0,Article,2022.0,10.1287/isre.2021.1071,,4.0
"['Click-Through Rate Prediction', 'Recommendation Systems']",[],information & management,0.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3220023,5.0,Article,2021.0,10.1016/j.im.2021.103428,,3.0
"['Click-Through Rate Prediction', 'Recommendation Systems']",[],information processing & management,2.0,"['Computer Science', 'Mathematics']",['Computer Science'],Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,2018.0,10.1145/3219819.3220023,10.0,Article,2020.0,10.1016/j.ipm.2019.102076,,2.0
"['coreference-resolution', 'Coreference Resolution', 'Entity Resolution', 'Machine Translation', 'Sentiment Analysis', 'Translation']",[],international journal of geographical information science,2.0,['Computer Science'],['Computer Science'],ArXiv,2018.0,10.1016/j.inffus.2020.01.010,27.0,Article,2022.0,10.1080/13658816.2021.1987441,,4.0
['Face Model'],[],journal of computer-mediated communication,0.0,"['Computer Science', 'Art']",['Computer Science'],ACM Transactions on Graphics (TOG),2018.0,10.1145/3197517.3201283,13.0,Article,2022.0,10.1093/jcmc/zmac008,,4.0
[],[],information processing & management,2.0,['Computer Science'],['Computer Science'],J. Intell. Fuzzy Syst.,2018.0,10.3233/jifs-169483,10.0,Article,2020.0,10.1016/j.ipm.2019.102150,,2.0
[],[],journal of the american medical informatics association,0.0,"['Medicine', 'Computer Science']",['Medicine'],"Sensors (Basel, Switzerland)",2019.0,10.3390/s19102361,21.0,Article,2021.0,10.1093/jamia/ocab192,,2.0
